 	Area1	Mean1	IntDen1	RawIntDen1
1	4394.184	908.505	3992138.250	238159152
2	4394.184	989.242	4346909.500	259323776
3	4394.184	1037.354	4558326	271936256
4	4394.184	1147.613	5042822.500	300839840
5	4394.184	1240.033	5448934	325067296
6	4394.184	1311.479	5762880	343796352
7	4394.184	1387.405	6096511	363699808
8	4394.184	1647.966	7241465.500	432004384
9	4394.184	1718.543	7551596	450505856
10	4394.184	1759.358	7730941.500	461205088
11	4394.184	1795.474	7889640.500	470672608
12	4394.184	1831.253	8046861	480051904
13	4394.184	1839.868	8084716	482310240
14	4394.184	1928.543	8474373	505556032
15	4394.184	1966.625	8641714	515539072
16	4394.184	1989.140	8740647	521441152
17	4394.184	2008.035	8823674	526394304
18	4394.184	2027.169	8907753	531410176
19	4394.184	2038.860	8959127	534475008
20	4394.184	1977.605	8689960	518417312
21	4394.184	1962.489	8623536	514454592
22	4394.184	1959.432	8610105	513653408
23	4394.184	1944.641	8545112	509776096
24	4394.184	1939.696	8523381	508479680
25	4394.184	1910.416	8394719	500804096
26	4394.184	1892.813	8317368.500	496189600
27	4394.184	1877.769	8251262.500	492245920
28	4394.184	1867.789	8207409.500	489629760
29	4394.184	1846.534	8114007.500	484057696
30	4394.184	1847.368	8117673	484276352
31	4394.184	1853.735	8145652.500	485945536
32	4394.184	1852.136	8138625	485526272
33	4394.184	1847.495	8118234	484309792
34	4394.184	1858.008	8164429	487065664
35	4394.184	1874.512	8236948.500	491391968
36	4394.184	1893.625	8320937	496402464
37	4394.184	1910.235	8393924	500756672
38	4394.184	1928.136	8472584	505449248
39	4394.184	1977.577	8689835	518409856
40	4394.184	1984.840	8721750	520313792
41	4394.184	2039.979	8964044	534768320
42	4394.184	2096.470	9212274	549577024
43	4394.184	2145.670	9428467	562474432
44	4394.184	2188.718	9617630	573759360
45	4394.184	2248.520	9880409	589435968
46	4394.184	2323.294	10208983	609037696
47	4394.184	2417.572	10623256	633752000
48	4394.184	2499.488	10983208	655225664
49	4394.184	2574.698	11313696	674941632
50	4394.184	2672.383	11742940	700549056
51	4394.184	2765.836	12153593	725047360
52	4394.184	2858.020	12558663	749212672
53	4394.184	2955.412	12986623	774743488
54	4394.184	3061.937	13454714	802668416
55	4394.184	3140.105	13798201	823159808
56	4394.184	3230.598	14195841	846881856
57	4394.184	3323.015	14601940	871108480
58	4394.184	3403.044	14953602	892087616
59	4394.184	3467.177	15235413	908899648
60	4394.184	3546.008	15581809	929564608
61	4394.184	3612.887	15875688	947096576
